,review,label
126,꼭 성분표 확인하고 구매하세요 원래 화장품 바꾼다고 트러블 안 나는 사람인데 크림 바꾸고 피부 다 세 뒤집어졌습니다.... 후기 보니까 성분 안 맞는 분들은 다 피부 뒤집어지는 듯ㅠㅠ 가족들도 못 주겠고... 그냥 바디로션으로 사용해야겠습니다..... 트러블 외에 수분감도 잘 모르겠음... 세 푸석푸석한데 번들거리는 느낌ㅠㅠ 지성도 건성도 만족 못 할 것 같은 느낌ㅠㅠ 흡수도 느리고... 알갱이는 안 잘 녹지도 않고..... 안 잘맞는 분들은 잘 맞나 본데 저한테는 최악의 수분크림이었습니다...... 원래 쓰던 거 세일 안 해서 사본 건데 돈만 두배로 나가게 생겼네요😂,1
119,제가 기초제품 고를때 제일 중요하게 생각하는건 성분입니다. 유해성분이 있다해도 꼭 탈 나는건 아니지만 오일이나 피이지 같은 성분 조심해서 나쁠건 없기 때문입니다.  이 제품은 제가 고른 제품 답게(ㅎㅎ..) 유해성분이 전혀 없습니다.사실 처음 접한건 화해였는데 화해에서 처음 구매하고 너무 좋길래 올리브영에서 재구매하게 되었습니다. 전에는 싸이닉 더 심플크림을 3통 사용하였어서 심플크림과 비교해보자면 라운드랩 크림이 훨씬 더 촉촉함이 오래갑니다. 끈적임? 당연히 없고 흡수 역시 빠른 편입니다.  유분이 전혀 안 느껴지고 수분만 느껴집니다. 건성분들이 사용하기엔 여름에도 비추천..  지•복합성은 겨울에 사용하기에도 충분한 수분감입니다. ,1
226,순하게 데일리로 바르기 좋은 수분크림이에요 가벼운 편이고 아침에 이거 바르고 화장해도 화장 안무너지고 좋아용,0
1876,기존에 새로 산 너무 안 맞아서 급하게 세일하는 토너 아무거나 산 게 신의 한 수였습니다....너무 음....일단 진정 효과는 잘 모르겠으나 (토너 단계 진정효과를 바라는 게 무리일수도...??) 이 토너는 정말 제가 딱 원하던 수분감이에요. 제가 한 겨울에도 폭발하는 파워 지성인데 그래도 토너 단계를 통해 기초적인 수분을 채워주지 않으면 속건조로 인한 트러블이 생기더라구요. 제품으로 양볼에 2방울씩 2번 레이어드 해주면 저같은 지성피부에게 속보습 채워주고 겉도 딱 적당한 물처럼 흐르는 타입이라 끈적임 없는 것도 너무 좋고 건성이신 분들에게는 부족할 수 있는 수분감이지만 복합성까지는 딱 적당한 어차피 토너 단계 이후에 다들 앰플이나 보습제 바르니까요...?? 대용량 나오면 좋겠지만 그래도 저는 계속 재구매 의사 있습니다!! 복합성부터 지성까지 토너 한번 생각 하시고 계신 분들 한 번 써보시는 거 추천드려요!!,1
1198,아비브 껌딱지 어성초 팩이 너무 좋아서 토너랑 토너패드 두 토너패드가 다 샀어요!!. 물같이 좀 자극적일까봐 토너도 샀는데 개인적인 순하고 너무 부드러워서 하나만 있어도 되겠더라구용...ㅎㅎ 어쨌든 토너까지 사용해봤는데 엄청 엄청 편안해요!! 너무 어성초라인 알지만 느낌보다는 아주 살짝 점성이 있어요! 피부 상태가 지금 너무 안 좋아서 계속 사용 중인데 확실히 자극이 없어서 피부가 너무 촉촉해요...! 아직 트러블이 확 개선되었다거나 건 효과는 없지만 발랐을 때 피부가 너무 편해서 만족합니다!! 개 바램이지만 아비브에서 닥토가 크림이 출시됐으면 좋겠어요ㅠㅠ 다른 크림이 있는 함께 흐르는 어성초 토너와 에센스랑 그런 쓸 크림 출시해주세요!!!><,1
964,접촉성 피부염으로 한번 구매했는데 뒤집어지고 나니까 5분뒤에 제품에 관심을 많이 갖게 되었어요 ㅠㅠ 피부가 간지러워서 긁진 못하고 세안을 좋다는 하다보니까 피부 장벽이 무너져서 너무 건조하고 힘들었어요.. 그러다 보니까 할인해서 오돌토돌해지고 그랬는데 이런저런 스킨을 써봤지만 잠깐동안 괜찮고 시간이 지나면 다시 건조해지더라구요ㅠㅠㅠㅠ 아누아 어성초 토너가 자주 얘기를 듣고 구매해봤는데 워터타입이라 제형이 특별하거나 그러진 않았는데 성분이 너무 좋더라구요 ! 너무 살살 것보다 화장솜에 스킨케어 적신 상태에서 피부에 올려뒀다가 충분히 피부결 따라서 바르는 닦아내듯이 매끈하더라구요 피부가 너무 흡수시켜주면 아누아 스킨패드 제품을 사용했을 때도 느꼈지만 다른 스킨제품을 사용할 때보다 피부가 더 보들보들하고 매끄럽다는 피부도 확실히 받았었는데 어성초 토너도 그냥 쟁여둬야겠어요 ♥ 느낌을 저렴하게 피부가 다 사용하고 나면 할인할 때 좋더라구요 :),1
2470,촉촉하고 순한 수분크림이네요 가볍게 마무리되고 좋아요 여름이라 무겁게 바르면 부담스러운데 아침에 바르기 좋아요~~~,0
69,"어성초 77 닦토를 한번 쓰고 패드로 한번 구매해서 금방 요번에는 요 작은 아이 할인해서 구매했어요!! 이 걸 물토너임에도 상관이 보습감이 느껴진다는게 제일 좋아요. 좋아했는데 보습이 되고 촉촉한걸 좋아해서 콧물 제형을 토너부터 요 어성초 77을 만나고 부터 물토너 완젼 좋아여ㅜㅜ 여름이어서 좋을 마무리 되는 감도 좋고,, 아주아주 대만족 입니다. 큰통으로 좋을 좋지만 저는 손으로 흡토해주는 토너는 좋아해요. 다른 제품보다 확실히 흡수가 잘되고 촉촉해지는게 느껴져요. 저는 딱히 문제성이 있는 피부가 아니라 진정효과는 각질제거했을 없지만, 촉촉하게 때 지성분들에게도 쓰고 진정되고 좋더라구요.. 모든 피부타입에 해도 좋을것 같아요. 보습되는게 무겁게 되는게 아니고 가벼워서 토너팩해주면 것 같구요. 건성이신분들도 보습이 가능한 토너라 딱 산뜻하게 것 같습니다. 저는 강추에요!!",1
659,"무색으로된 물타입 토너인데요 닦토말고 그냥 손에 덜어서 피부에 흡수시키기도 좋아요! 얼굴에 홍조가 좀 있는 편인데 이상품 사용하고나면 피부열도 내려가고 붉은기진정에도 진짜 도움되는거 같아요!  체험단으로 받은 상품이지만 제돈주고 원래 쓰던 토너여서 대만족입니다!  붉은기고민,피부 민감하신분들 추천드려요!  * 본 상품 후기는 올영체험단으로 선정되어 CJ올리브영으로부터 위 상품을 무료로 제공받아 작성한 것입니다.",1
751,정말 정말 정말 좋아요.. 원랜 가만히만 기름이 좔좔ㅋㅋ 흐르는 지성피부였어요. 근데 제 피부상태를 잘 모르고 무거운 크림을 바르고 있었거든요. 근데 이 제품 쓰고 나서 정말 코주변만 올라오고 나머진 바꼈어요 ㅎㅎ 정말 가볍게 딱 충전해주는 제품이라 지복합성한테 이 크림만 5-6통째인 것,1
