,review,label
416,"아비브 제품이라면 .. 궁금해서 다 써봐요!   🤍피부타입 복합성 피부에, 약간의 트러블이 올라오는 피부에요.  T존이 지성이라 고민이기도 합니다.   🤍구매이유  저는 수분충전, 진정 용도로 스킨 제품 구매했어요!   🤍사용감  향은 거북스럽지 않고, 제형은 물과 점성 있는 제형의 그 사이 같아요! 아주 물 같지도 점성이 강하지도 않은 느낌입니다 :)  속건조를 확! 잡아준다기 보다는 진정 효과가 더 있는 것 같아요. 피부가 약간 예민한 편인데, 거부감 없이 잘 쓰고 있어요.   🤍재구매의사  있습니다 :) 다만 닦토로 사용은 안하고 바로 피부에 1-2번 정도 흡수시켜 주는 용도로 더 적합한 것 같아요!  아비브 아비브토너 어성초토너",1
196,피부가 민감해서 성분 고르고 지성에 잘 맞아요 뾰루지도 안나고 촉촉하며 나서 화장을 해도 밀리지않아요,0
652,아누아가 그렇게 유명하다길래 한번 구매해서 써보려고 구매했습니당~!사서 써보니 왜 유명한지 알겠더라구요!!미끄덩 거림도 없이 산뜻하게 발리면서 가볍고 보습력도 좋고 진정효과도 좋았어요!요즘 자외선 때문에 피부 온도가 확 올라가는데 이 토너를 냉장고에 넣어두고 화장솜에 묻혀서 팩을 해주면 쿨링+진정효과가 뛰어나답니당~!진정효과가 뛰어나서 저처럼 턱드름이나 좁쌀 여드름으로 고생하는 분들이 트러블 케어를 위한 기초 화장품으로 바르기에도 좋아요!완전 쥬르륵 워터 타입이라 푹푹 찌는 여름에도 부담없이 처음에 바르는 너무 무겁거나 흡수가 더디면 뭉치게 아누아는 첫단계에서 딱 수분길을 열어주면서 그 다음 바르는 제품들 잘 흡수되게 도와주는 부스팅 역할을 제대로 너무 만족해용~!,1
1184,가벼운 제형이라 마무리감이 산뜻합니다 이 날씨엔 좀 건조하다고 느껴지긴 했는데. 신기하게 속건조는 리치한 크림 쓸 때보다 줄었네요  강추! 근데 화장할때 보면 알갱이가 좀 남아있어요ㅎ ,0
1292,아비브라인 중에 제일 반한 제품이에요 올리브영 기프트팩에 당첨되어서 아비브를 처음 접했는데요 어성초가 트러블에 좋다는 건 알았지만 별 기대없이 반신반의했는데 샘플사용해보고 바로 대용량 구매했답니다 스킨라인 같은 경우는 저는 화장솜을 사용해 쓰는데요 왠지 먼지나 트러블을 더 제거해주는 것 같은 기분이에요 일단 트러블이 신기하게도 사라졌어요 또 나만아는 신경쓰이는 작은 뾰루지랑 좁쌀같은것들이 들어가더라구요 스킨은 꾸준히 아브비 어성초라인을 사용할 생각이에요 트러블이나 미세한 뾰루지들로 고민하신다면 이건 진짜 구매각이에요 재구매의사 100프로에요 ,1
580,라운드랩 자작나무 수분크림 너무 좋아서 본품 샀어요. 마침 자작나무 수분크림 20ml 소용량 추가증정이 있어서 본품 사용해보고 본품을 사용할수있어서 더욱 좋더라구요. 성분도 착한지 많은 분들한테 인기 많은이유가 있는거 같아요. 자작나무가 좋다고 수분크림으로 만들었다니 말 다했죠! 80ml라니 든든하네요. 원래 크림은 기본적으로 50ml가 많은데 라운드랩은 30ml가 더 들어있어서 좋네요. 두고두고 있을거같아요. 잘샀어용!! 역시 라운드랩 너무 만족합니다.,0
743,휴기 다녀 왓더니 얼굴 좁쌀 여드름 이 잠뜩 올라와서 스크럽이랑 수분크렘 행사 하고 있길래 사서 썻는데 좋네오 자극도 덜하고 수분 잘 집아 줍니다,0
567,계속되는 폭염에 본투비 땀쟁이인 이마에 뭐가 많이 올라오더라구요 ㅠㅜ 몸에서 나는 땀도 땀이지만 얼굴땀도 엄청나서 열감+땀으로 인해 급 이마 트러블+ 인중 트러블 (인중 여드름은 진짜 아픈거 아시져..) 여튼 이렇겐 안되겠다 싶어서 아비브 어성처 스킨 사봤어요! 어성초 패드도 나름 잘 했는데 패드는 약간 아프다고 해야하나? 거즈면으로 안했는데도 조금 아프더라구요 그리고 얇아서 닦토하기에는 ㅠㅠ 여튼 아비브 어성초 라인 유명한건 두말하면 입아파요 ㅜㅠ! 처음 사용이지만 아비브 어성초라서 믿고 제품 구매했는데 괜찮네요 ㅎㅎ 좋아요 가을까지 잘 사용할 것 같아요!! 그리고 더랩바이블랑두 토너패드랑 이토너랑 같이 사용중인데 둘 다 진정 있는거라 같이 사용하기에 괜찮아요,1
1339,친구추천으로 그뒤로도 계속 쓰고있어요 ㅎㅎ 할인자주해주세여,0
5,친언니가 사용하는거 훔쳐쓰고 괜찮길래 구매했어요~~~ 엄청 예민 피부인데 트러블 안나고 좋아요! 수분감 미쳤다기보다는 그냥 딱 가격대비수분크림입니다:) 앰플바르고 위에 한번 덮어주는 식으로 발라요 ,0
