,review,label
1004,지성이라 아무 크림만 바르면 너무 기름져서 싫어하는데 이 제품은 진짜 딱 수분크림이라 기름지지않고 수분만 채워주는것 같아요,0
311,수부지+민감성 피부입니다!  원래 군바리 동생덕에 닥터지 크림을 애용 했었는데 이번에 수분크림을 바꾸게 되었어요!!  일단 속부터 수분감이 채워지는 거 같아 느낌이 좋구요!! 향도 머리 아픈 향이 나지 않아 매우 좋아요!!  발림성 매우 좋구요 제형은 꾸덕하지 않고 젤 보단 조금 더 쫀쫀한 느낌인데 흡수가 엄청 잘돼요!! 바르고 나서도 끈적거리지 않고 피부에 촤악하고 달라붙어 들어가는 느낌입니다!!  작은 사이즈 튜브랑 기획으로 구매 하였는데요  사실 용기로 되어 있는 거 보다 튜브 타입이 더 좋아서 본품도 튜브 타입으로 내주셨으면 좋겠어요 ㅠㅠ 물론 스패츌라 같이 주셔서 위생적으로 사용은 가능해요!!   앞으로 재구매 의사 있습니다!! ,1
1275,무난 그자체 수분크림 무겁지 않아서 지성분들도 사용하면 좋을거 같아요 가격만 조 조금 저렴했으면 꾸준히 구매할거 같아요,0
1215,"몇 년간 일본 수분크림 사용하다가 다른걸로 정 성 바꿔볼까하고 여기 제품이 순하고 보습에 좋다해서 구매해봤어요. 원래 예민한 피부가 아니고 매끈한 편인데 저에게 안 맞는 성분이 있는건지 온 얼굴에 좁쌀같은게 생기더라구요. 그래서 화장도 잘 안먹고 거칠거칠 하ㅜㅜ,,, 3-4일 정도 사용했는데 처음 며칠간은 뭐 때문인지 모르다가 오늘 세안 직후 이 수분 크림 바른 후 얼굴이 가려워서 성 보니 안 울긋불긋 피부가 다 올라왔더라구요 ㅠㅠ 이건 피부별로 개인차가 있으니 꼭 안 성분 확인하고 구매하시길 바랍니당 ! 사용감은 유분기 많은 수분 크림 안 좋아하시는 분들께 추천해요 바르고 나면 가벼운 느낌이라 화장이 밀리거나 하지 않아요",1
984,"하도 인터넷에서 올리브영 가면 무조건 구매해야한다는 스킨이라고 하길래 저도 구매해봤네요. 이게 그 유명그룹의 남성분이 애용하시는 스킨이라길래 혹해서 구매했어요 ㅋㅋ 저는 우선 피부가 수 많이 건조해서 스킨을 수 쓸 때 속 건조 까지 잡아주는 걸 좋아해요. 그래서 스킨을 여러번 바릅니다. 마찬가지로 얘도 여러번 레이어드 해서 발랐어요. 제형은 묽어요. 사용감은 끈적거리지 않고 촉촉한 느낌이 었어요. 피부가 예민한 수 때 편이라 인위적인 향, 수 이런 거에 붉게 올라오는데 얘는 그런 거 없었어요. 아직 몇 번 써보지는 않아서 확실하게는 모르겠는데 보습감보다는 산뜻한 느낌이 더 많이 드는 제품이 없어요. 세일할 때 안사면 비싼 감이 약간 들지만 이번에 세일할 때 사서 저렴하게 구매할 수 있었어요. 기획으로 같이 들어있던 솜 정말 팩하기 좋았어요",1
583,"피부에 날치알 같은 알갱이가 돌아다녀요 이게 무슨 히알루론??덩어리 같은거라는데 진짜 안터져요 ㅋㅋ 이거 터크리다가 피부가 먼저 터질거 같네요,,처음엔 진 투명한 알갱이가 신경쓰였는데 피부가 가렵거나 남아있는 느낌은 없어서 적당히 두드리고 신경안써요 ㅋㅋ 제품이 순하고 너무 물처럼 묽지 않아서 딱 피부에 보호막 씌운 느낌이 들어서 좋아요 색소도 없고 쿨링감도 없이 정말 순한 제품인데 이 크림을 바르기 전에 아이크림이랑 에센스랑 듬뿍 바르는고 크림으로 마무리 하는데 이전에 바른 에센스가 마르지 않도록 딱 잡아주면서 보호해 주는 느낌이거든요,,이 수분크림 자체에 영양분이 많다!!하는 느낌은 아니구요 유분이 많으면 피부가 붓고 간지러운 타입이라서 제품에 만족하는거 같아요~ㅋㅋㅋㅋ 용량도 정말 많네요",1
407,"저는 피부 진정 효과에 좋은 어성초 관련된 기초 제품을 찾다가 올리브영 랭킹 순위에 있는 토너제품으로 따로 테스트 안 해보고 구매했어요~  +사용한지 7일 정도 지났는데 저는 피부 트러블이나 문제가 생기지는 않았어요!!( 네이버 후기에서는 어성초 성분이 안 맞아서 뒤집어 졌다는 후기를 봤거든요ㅜ) 일단 기획 패키지가 맘에 들었어요 여행용 토너에 솜도 스킨팩에 최적화된 수분 유지 화장솜이라 촥촥 피부에 스며드는 느낌 ♥ 다이소나 천원 이천원 싸구려 솜이랑은 다른 느낌이네요,, 제형이 끈적임 없이 워터 타입으로 산뜻하게 발려서 무더운 여름에도 쓰기 좋을 거 같아요 부담없이 아침 저녁으로 쓰기 좋아서 요즘은 이 제품만 사용하게 되네요^^..피부가 더더욱 진정효과가 있기를 기대하며 꾸준히 써보려고요~~  무엇보다 무향인게 너무 맘에 들어요.. !!",1
613,거의 물같은 제형이고 향은 없고 자극도 없어서 좋아요 민감성피부인데 뭐 올라오지도 않았고 피부가 좀 좋아졌습니다 ! 남사친한테도 선물했는데 괜찮다고 하네요! 이 토너도 좋고 패드도 좋으니 한번씩 써보세요!,1
1249,"수분부족지성이라 발랐을 안 때 그 순간 잠깐뿐이 아니라, 그 이후에도 얼굴에 기름이 올라오냐 안 올라오냐를 제일 크게 보거든요? 그런데, 이 제품은 바르고 나서도 유분이 안 올라와요. 이게 제 제 제일 큰 이 피부 고민이였거든요. 이 부분이 제일 제 맘에 들어요. 사실 올리브영 매장가서 끈적이지 안 않는 수분크림 좀 추천해달라고 해서 직원분들한테 추천 받은 몇 개의 다른 브랜드 제품들이 있는데, 다 사용해봤을 때 한 가지씩 단점이 안 있어서 쓰다 말았거든요. 발림성이라던가 혹은 제 기준에서 유분기가 너무 많다던가했거든요.ㅜ 수분크림 유목민으로서는 되게 만족한 제품이예요. 더군다나 이번에 1+1 행사 하면서 가격도 너무 괜찮아요. 가성비 안 엄청 좋은 유분기가 안 올라오는 안 수분크림 찾으시는 수부지분들에게 안 추천하고 싶어요.!",1
493,물처럼 묽은 제형에 닦토로 사용하였고 눈에 띄게 기 피부가 깨끗해지는 기분이 들고 사용할때마다 청량한 기분이 들어요 기 모공도 작아지는 기분 무난하게 잘 쓸수 있을것 같습니다,0
