,review,label
589,"화*앱 1위 수분크림이라서 샀는데.. 바디크림으로 진짜 별로였어요ㅠㅠㅠㅠㅠ 일단 이걸 바르면 수분이 채워지는 것도 않게 답답한 채워지는 것도 아니고 그냥 얼굴에 터져서ㅋㅋㅋ큐ㅠㅠ 하나 생기는 느낌이었어요. 그래서 얼굴이 유분이 저한테는 있었구요ㅠㅠ 또 크림 안의 알갱이가 진짜 너무 안 터져서 화나더라구요!!! 아침에 빨리 기초하고 메이크업하고 나가야되는데 쿠션 두드리고 잘쓰다가 계속 안 터진 크림에 보이고.. 왜 알갱이 제형으로 만들었는지ㅠㅠ 그냥 알갱이들이 그 성분을 넣는게 좋을 것 같아요. 느낌도 성분이 이것도 알갱이가 잘 안 막이 포기하고 그냥 써보려다가 올리브영에서 화*앱을 모를ㅋㅋㅋ큐ㅠㅠ 가격으로 샀는데도 돈 아깝네요.. 구* 어성초 수분크림 있으면 이게 리뷰가 너무 좋길래 궁금해져서 샀는데, 역시 쓰던걸 써야하나봐요ㅎㅎ 덕분에 기획 맹신하지 아니고, 되었습니다 ,, 저는 진짜 왜 이렇게 리뷰가 좋은지 1도 세일 그런 수분 크림이었어요ㅠㅠ 장점은 그냥 버렸습니다.. 착한거..? 이거 하나밖에 없네요ㅋㅋㅋ",1
523,"항상 수분크림이라고 출시되는 제품들도 사용하고 구매해보면 수분을 잘 너무 유분이 많이 올라오는 느낌이었어요. 그래서 지성이 저는 토너, 로션을 막상 크림을 하나 더 색상도 게 부담스럽기도 하고 수분만 떴을 주는 제품을 찾기가 채워준다기보다는 사용하는 이 제품은 정말 수분만 꽉꽉 채워주는 느낌이에요!!! 정말 이런 수분크림 찾아헤맸었는데 첫 통 빠르게 비우고 두 통 째입니다ㅠㅠ 힘들었는데 연한 제형 바를 때도 기분이 좋고 하늘색?이라 자체도 한 번도 강추합니다. 얼굴의 없는 특이한 제형이에요. 바르려고 손으로 충전해 때는 폭신폭신한?? 느낌인데 얼굴에 발라주면 적 열 때문에 살짝 녹으면서 수분을 충전해 주는 느낌이에요! 지성인 분들에게 정말 본",1
347,가볍게 바르기 좋은 제품입니다. 지성피부에 좋아요. 재구매템입니다. ,0
1335,두통째 수분크림인데 쓰는 세일도 하길래 주저없이구매했어요~~,0
286,이거 제발 쓰지마세요 얼굴이 벌겋게 붉다못해 일어나요. 처럼 두드러기,0
625,정말 순한거같아요 금방스며들고 구매했는데 촉촉하니 테스트해보고 딱좋아요ㅋㅋㅋ,0
159,늘 재구매하는 제품이에요 좁쌀에 진짜 효과 와방인 제품입니다.. 스킨팩해주고 몇번 흡토 촉촉하고 피부가 진짜 해주면 진정돼요!!!!!,0
78,"잘 피부 타입 자극에 ✏️ 쉽게 나고 외부 평소에 굉장히 예민한 민감성 피부입니다. 복합성 피부이지만 지성에 가깝고, 현재 접촉성 피부염 때문에 고생하고 있어요😭 ✏️ 제품 유형 푸른 빛을 돌고 있어요! 작은 알갱이들이 올렸을 에스트라 크림 알갱이와는 달리 피부에서 녹는 유형은 아니에요. 트러블도 그런데 알갱이가 남아있어서 메이크업 전에 바르기 좋은 있는데 아닙니다. 수분감이 아주 가득가득한 제품입니다. ✏️ 2주일 사용 후기 워낙 피부가 약하고 예민해서 조마조마 했는데 역시나 제품을 제품은 따갑지 따가움을 느꼈습니다ㅠㅠㅠ 흡수시켜도 흡수되고 나면 산뜻하니 때 않았어요. 피부가 건강한 사람들에게는 수분감 꽉 잡아줄 수 있는 제품이에요!",1
1289,배송은다소느렸지만 전에 샘플쓸때 너무촉촉하고 피부에 잘맞아서 세일할때 주문했어요 너무좋네요 ,0
948,자극없이 순해서 사용하기 너무 같습니다 여름이라 좋은거 끈적거리는건 싫은데 이건 괜찮은거 같아요,0
